season_id,matchup_home,season_type,min,team_name_home,fg3m_home,fg3a_home,fg3_pct_home,wl_home,team_name_away,fg3m_away,fg3a_away,fg3_pct_away,wl_away,highest_3pp,highest_3pp_wl
22015,ATL vs. DET,Regular Season,240,Atlanta Hawks,8,27,0.296,L,Detroit Pistons,12,29,0.414,W,0.414,W
22015,GSW vs. NOP,Regular Season,240,Golden State Warriors,9,30,0.3,W,New Orleans Pelicans,6,18,0.333,L,0.333,L
22015,CHI vs. CLE,Regular Season,240,Chicago Bulls,7,19,0.368,W,Cleveland Cavaliers,9,29,0.31,L,0.368,W
22015,BOS vs. PHI,Regular Season,240,Boston Celtics,8,24,0.333,W,Philadelphia 76ers,7,22,0.318,L,0.333,W
22015,MIA vs. CHA,Regular Season,240,Miami Heat,12,20,0.6,W,Charlotte Hornets,6,24,0.25,L,0.6,W
22015,SAC vs. LAC,Regular Season,240,Sacramento Kings,11,24,0.458,L,LA Clippers,6,19,0.316,W,0.458,L
22015,PHX vs. DAL,Regular Season,240,Phoenix Suns,6,24,0.25,L,Dallas Mavericks,10,21,0.476,W,0.476,W
22015,MEM vs. CLE,Regular Season,240,Memphis Grizzlies,2,16,0.125,L,Cleveland Cavaliers,13,29,0.448,W,0.448,W
22015,LAL vs. MIN,Regular Season,240,Los Angeles Lakers,9,34,0.265,L,Minnesota Timberwolves,5,20,0.25,W,0.265,L
22015,ORL vs. WAS,Regular Season,240,Orlando Magic,5,26,0.192,L,Washington Wizards,7,28,0.25,W,0.25,W
22015,DET vs. UTA,Regular Season,240,Detroit Pistons,7,19,0.368,W,Utah Jazz,2,12,0.167,L,0.368,W
22015,HOU vs. DEN,Regular Season,240,Houston Rockets,8,35,0.229,L,Denver Nuggets,13,27,0.481,W,0.481,W
22015,MIL vs. NYK,Regular Season,240,Milwaukee Bucks,9,18,0.5,L,New York Knicks,9,23,0.391,W,0.5,L
22015,POR vs. NOP,Regular Season,240,Portland Trail Blazers,12,32,0.375,W,New Orleans Pelicans,11,33,0.333,L,0.375,W
22015,BKN vs. CHI,Regular Season,240,Brooklyn Nets,0,9,0,L,Chicago Bulls,14,28,0.5,W,0.5,W
22015,OKC vs. SAS,Regular Season,240,Oklahoma City Thunder,7,19,0.368,W,San Antonio Spurs,5,15,0.333,L,0.368,W
22015,TOR vs. IND,Regular Season,240,Toronto Raptors,7,18,0.389,W,Indiana Pacers,9,23,0.391,L,0.391,L
22015,LAC vs. DAL,Regular Season,240,LA Clippers,8,31,0.258,W,Dallas Mavericks,6,30,0.2,L,0.258,W
22015,IND vs. MEM,Regular Season,240,Indiana Pacers,12,30,0.4,L,Memphis Grizzlies,7,16,0.438,W,0.438,W
22015,NYK vs. ATL,Regular Season,240,New York Knicks,6,29,0.207,L,Atlanta Hawks,10,24,0.417,W,0.417,W
22015,PHX vs. POR,Regular Season,240,Phoenix Suns,4,18,0.222,W,Portland Trail Blazers,9,24,0.375,L,0.375,L
